match_id,event_slug,market_title,token_w1,token_draw,token_w2,kickoff,resolved_at
F-md2-Tunisia-vs-Japan,fifwc-tun-jpn-2026-06-21,Tunisia vs. Japan,62516949205730668430138255140150438665483187962069999240136080804116109915287,50275383633644719253389412495747849486228904621414058936414415835809185820411,91234906493805354217250440222911012200186057450151286874925972448339630680686,2026-06-21 04:00:00+00,2026-06-13T03:49:56+00:00
F-md3-Japan-vs-Sweden,fifwc-jpn-swe-2026-06-25,Japan vs. Sweden,101491499269793539765890729500440478078979559571972876836355209033272846559170,103921367649237605886104535173979078531662655072769163320410011491550422861515,12789581828610654936852030631608949195058761081844775016106587060501098784149,2026-06-25 23:00:00+00,2026-06-13T03:49:56+00:00
F-md3-Tunisia-vs-Netherlands,fifwc-tun-nld-2026-06-25,Tunisia vs. Netherlands,98721981590572841910847700506915134910696602397328529619763154982886944471014,26955252857582298749666469746136063544098108020808079857285492441529135677527,28763246044322995220208532073700111687599343514604674596345286876678085708461,2026-06-25 23:00:00+00,2026-06-13T03:49:56+00:00
G-md1-Belgium-vs-Egypt,fifwc-bel-egy-2026-06-15,Belgium vs. Egypt,5699266164849713169703648234886411053444418385408086203990916861286572010447,11945055302217621784910045410746746975726300882345977028546086393834748493487,71175597030142754954710752283935666239163672397586595724135510152247112429550,2026-06-15 19:00:00+00,2026-06-13T03:49:56+00:00
G-md1-Iran-vs-New_Zealand,fifwc-irn-nzl-2026-06-15,IR Iran vs. New Zealand,98258440478094610167729510800284333090952142769785486649204893493792445830714,81680331983186046997381955280648457847630354885398475637844800869325464253779,55137687241393541361565001012865874102902217097342494894791514463933071353645,2026-06-16 01:00:00+00,2026-06-13T03:49:56+00:00
G-md2-Belgium-vs-Iran,fifwc-bel-irn-2026-06-21,Belgium vs. IR Iran,73247571006255574285385183553023235681702880602976519365262465179094676130340,65206879169809471684171181962606426355936771076631263853333189016369249957120,107259278816298402654822103861927486042412499982187590917424237525323082866574,2026-06-21 19:00:00+00,2026-06-13T03:49:56+00:00
G-md2-New_Zealand-vs-Egypt,fifwc-nzl-egy-2026-06-21,New Zealand vs. Egypt,33714788520669769280954321212574588471029548850737990640617719122550413982550,106573441938278169951840270152617513270375496735835936558802812191575117517631,13689393741027779813840434297856122590360803048059505899834082936957632248186,2026-06-22 01:00:00+00,2026-06-13T03:49:56+00:00
G-md3-Egypt-vs-Iran,fifwc-egy-irn-2026-06-26,Egypt vs. IR Iran,75595072506593093609125758283657089382220899252356081539276899905086401333602,78120279705291218158294867165496451864789831831028096964508511026890389826312,34787355244902293604560127433609469815330269379035336530397136777594424715528,2026-06-27 03:00:00+00,2026-06-13T03:49:56+00:00
G-md3-New_Zealand-vs-Belgium,fifwc-nzl-bel-2026-06-26,New Zealand vs. Belgium,51519876214140449660166550584440656906007152566889523395451234960389805633766,62409843405324454061803814330319520418244336052868125219110920850254110405657,56919576321692543804120333477806892227587677219602902701553511079254437421526,2026-06-27 03:00:00+00,2026-06-13T03:49:56+00:00
H-md1-Saudi_Arabia-vs-Uruguay,fifwc-ksa-ury-2026-06-15,Saudi Arabia vs. Uruguay,108315368637387262892957153811435904912510274825529229627147648105187493645849,6109686258397883114797998126787263049884408157800816627628909717221408645880,67375566273017733280418349633635206252639538869301457434188127341791609355341,2026-06-15 22:00:00+00,2026-06-13T03:49:56+00:00
H-md1-Spain-vs-Cape_Verde,fifwc-esp-cvi-2026-06-15,Spain vs. Cabo Verde,3612393435281522540359979834655761894598376313180591710384535406994913064931,83072215710101175871081563765894926731657038656927257285040774204247563097609,85135836978485179530031184162395126176783303519695757365796392230161124240788,2026-06-15 16:00:00+00,2026-06-13T03:49:56+00:00
H-md2-Spain-vs-Saudi_Arabia,fifwc-esp-ksa-2026-06-21,Spain vs. Saudi Arabia,73510205866448375978164321647457824822309414197359016110940718743916953674850,82898292053233796019218455463083153847413990945759207495147091875359141826965,34595222436901694034568466087145334098073564547697700427928775408006876228602,2026-06-21 16:00:00+00,2026-06-13T03:49:56+00:00
H-md2-Uruguay-vs-Cape_Verde,fifwc-ury-cvi-2026-06-21,Uruguay vs. Cabo Verde,115744004241615826068373834065815885045802138463705964527622590795637356148787,67002593218190822532665099166898408129313819429898582664969051678894195427511,92373800853975207163715439849233105963580357686874848773967900936113195244769,2026-06-21 22:00:00+00,2026-06-13T03:49:56+00:00
